"favorite_count","retweet_count","hashtags_cant","media_url_cant","mentions_cant","reply_to_status","followers_count","friends_count","statuses_count","favourites_count","account_lang","source","popular"
0,0,0,0,0,0,1059,784,14819,2168,"es","Twitter for Android","no"
0,0,0,0,0,0,469,356,26734,1554,"es","Twitter for Android","no"
0,0,0,0,0,0,125,130,4562,2026,"es","Twitter for Android","no"
0,0,0,0,0,0,1381,604,25477,1680,"es","Twitter for iPhone","no"
3,0,0,0,0,0,382,592,26513,8165,"es","Twitter for Android","no"
2,0,0,0,1,1,868,389,38704,69739,"es","Twitter for iPad","no"
2,0,0,0,0,0,586,493,1523,1018,"es","Twitter for Android","no"
0,0,0,0,0,0,1090,818,20301,17632,"es","Twitter for Android","no"
0,0,0,0,0,0,15,37,12452,6,"en","twittbot.net","no"
0,0,0,0,0,0,624,716,6128,3360,"es","Twitter for Android","no"
0,0,0,0,0,0,1044,568,35710,8677,"es","Twitter for Android","no"
0,0,0,0,0,0,1044,568,35710,8677,"es","Twitter for Android","no"
0,0,0,0,0,0,1044,568,35710,8677,"es","Twitter for Android","no"
0,0,0,0,0,0,1044,568,35710,8677,"es","Twitter for Android","no"
0,0,0,0,0,0,136369,39125,962997,3732,"es","Twitter Web Client","si"
0,0,0,0,0,0,98,166,537,1409,"es","Twitter for Android","no"
1,0,0,0,0,0,3657,1757,79881,181731,"es","TweetDeck","no"
0,0,0,0,0,0,1220,1127,36023,546,"es","Twitter for Android","no"
0,0,0,0,0,0,1219,699,37847,1162,"es","Twitter for Android","no"
0,0,0,0,0,0,705,1416,21620,4115,"es","Twitter for Android","no"
0,0,1,0,0,0,5576,4062,16691,96,"es","Twitter Web Client","no"
0,0,0,0,0,0,91046,47873,1212200,5475,"es","Twitter Web Client","no"
0,0,0,0,0,0,832,527,15697,4066,"es","Twitter Lite","no"
0,0,1,0,0,0,79137,0,1197489,4576,"es","Twitter Web Client","no"
0,0,0,0,0,0,788,842,25924,3001,"es","Twitter for Android","no"
1,0,3,0,0,0,721,416,741,167,"es","Twitter Web Client","no"
0,0,1,0,0,0,1475,1978,153004,11,"es","Hootsuite","no"
0,0,0,0,1,1,150,171,15767,11950,"es","Twitter for Android","no"
1,0,1,0,0,0,57553,0,1033812,4633,"es","Twitter Web Client","no"
0,0,1,0,0,0,88191,0,1110891,5592,"es","Twitter Web Client","no"
3,0,0,0,0,0,1238,551,18148,65045,"es","Twitter for Android","no"
0,0,0,0,0,0,81,60,2321,1894,"es","Twitter for Android","no"
0,0,0,0,0,0,147,111,8740,2900,"es","Twitter Lite","no"
0,0,0,0,0,0,786,428,9671,5067,"es","Twitter for Android","no"
0,0,0,0,0,0,708,873,12263,4692,"es","Twitter for Android","no"
0,0,0,0,0,0,163,116,5988,1244,"es","Twitter for Android","no"
0,0,0,0,0,0,101,73,10377,5226,"es","Twitter for Android","no"
1,0,0,0,0,0,2007,399,79418,1298,"ca","Buffer","no"
0,0,0,0,1,0,229,882,25726,2906,"es","Twitter for iPhone","no"
0,0,0,0,0,0,858,415,31324,4760,"es","Twitter for Android","no"
0,0,0,0,0,0,902,471,46049,6111,"es","Twitter Lite","no"
0,0,0,0,0,0,274,191,25363,5769,"es","Twitter Lite","no"
0,0,0,0,0,0,1035,2279,21861,1577,"es","Twitter for Android","no"
0,0,0,0,0,0,214,322,2616,10475,"es","Twitter for Android","no"
0,0,0,0,0,0,289,369,45025,10024,"es","Twitter Web Client","no"
0,0,0,0,0,0,251,181,6305,3191,"es","Twitter for iPhone","no"
4,0,0,0,0,0,1313,650,12375,12692,"es","Twitter Web Client","no"
0,0,0,0,0,0,346,322,26208,658,"en","Twitter for iPhone","no"
0,0,0,0,0,0,268,264,17301,5568,"es","Twitter for Android","no"
0,0,0,0,0,0,2202,338,13935,3049,"es","Twitter for iPhone","no"
0,0,0,0,1,1,2440,821,93477,28982,"es","Twitter for iPhone","no"
0,0,0,1,0,0,454,389,13617,1637,"es","Twitter for iPhone","no"
0,0,0,0,1,0,1916,999,110131,0,"es","Twitter for Android","no"
1,0,0,1,1,1,13,40,15,21,"es","Twitter for Android","no"
1,0,0,1,1,1,13,40,15,21,"es","Twitter for Android","no"
0,0,0,1,1,0,13,40,15,21,"es","Twitter for Android","no"
0,0,0,1,1,0,13,40,15,21,"es","Twitter for Android","no"
0,0,0,0,1,0,3070,2514,1869,387,"es","Twitter Web Client","no"
0,0,0,0,0,0,574,437,5035,3270,"es","Twitter for iPhone","no"
1,0,0,0,0,0,1193,1348,12811,71228,"es","Twitter for Android","no"
0,0,0,0,0,0,107,41,1127,171,"es","Twitter for Android","no"
0,0,0,0,0,0,402,975,4589,4627,"es","Twitter for Android","no"
0,0,2,0,0,0,51,216,155,61,"es","Twitter for Android","no"
0,0,0,0,0,0,191,117,3642,4689,"es","Twitter for Android","no"
0,0,0,0,0,0,725,658,12998,1303,"es","Twitter for Android","no"
0,0,0,0,0,0,558,196,542,75,"es","Twitter for Android","no"
0,0,0,0,0,0,768,558,11306,11637,"es","Twitter for Android","no"
1,0,0,0,1,1,410,538,26214,8708,"es","Twitter for iPhone","no"
1,0,0,0,1,1,410,538,26214,8708,"es","Twitter for iPhone","no"
0,0,0,0,1,1,410,538,26214,8708,"es","Twitter for iPhone","no"
0,0,0,0,1,1,410,538,26214,8708,"es","Twitter for iPhone","no"
0,0,0,0,0,0,1310,838,14668,3452,"es","Twitter for iPhone","no"
0,0,0,0,0,0,688,93,1186,164,"es","Twitter Web Client","no"
0,0,0,0,0,0,483,978,77560,17754,"es","Twitter for Android","no"
0,0,0,0,0,0,1174,894,24096,4055,"es","Twitter for iPhone","no"
0,0,1,0,0,0,61838,37047,893262,4839,"es","Twitter Web Client","no"
0,1,0,0,0,0,3396,413,48901,9480,"en","Twitter for iPhone","no"
0,0,0,0,0,0,569,1249,8118,6616,"es","Twitter for Android","no"
1,0,0,0,0,0,803,694,21813,4274,"es","Twitter for iPhone","no"
4,2,0,0,0,0,1595,743,10016,10010,"es","Twitter for Android","no"
0,0,0,0,1,1,1373,2699,23363,1936,"es","Twitter for Android","no"
1,0,0,0,1,1,164,173,13239,4161,"es","Twitter for Android","no"
0,0,0,0,0,0,400,223,8450,3145,"es","Twitter for Android","no"
1,0,0,0,0,0,1238,866,34085,22828,"ca","Twitter for iPhone","no"
0,0,0,0,0,0,907,309,54197,7904,"es","Twitter for Android","no"
0,0,0,0,0,0,850,1203,3535,1528,"es","Twitter for iPhone","no"
4,3,1,0,0,0,118,683,4348,5715,"es","Twitter for Android","no"
2,1,0,0,0,0,829,329,6541,5,"es","Facebook","no"
3,0,0,0,0,0,859,172,85958,132677,"es","Twitter for Android","no"
1,0,0,0,0,0,445,350,8630,986,"es","Twitter for Android","no"
0,0,0,0,0,0,1169,802,4970,543,"es","Twitter for iPhone","no"
0,0,0,1,0,0,225,256,61961,66,"es","WordPress.com","no"
0,0,0,0,0,0,330,602,1235,1538,"es","Twitter for Android","no"
2,0,0,0,0,0,749,924,18815,26366,"es","Twitter for Android","no"
2,0,0,0,0,0,749,924,18815,26366,"es","Twitter for Android","no"
1,0,0,0,0,0,749,924,18815,26366,"es","Twitter for Android","no"
1,0,0,0,0,0,749,924,18815,26366,"es","Twitter for Android","no"
0,0,0,0,1,1,175,185,6139,719,"es","Twitter for Android","no"
0,0,0,0,0,0,529,1067,6057,4122,"es","Twitter for Android","no"
0,0,1,0,0,0,63,201,1439,144,"es","Twitter for iPhone","no"
0,0,0,0,1,1,307,674,14087,7579,"es","Twitter for Android","no"
14,8,0,0,0,0,8369,1421,127894,10496,"es","Twitter for Android","no"
0,0,0,0,0,0,351,859,3617,3569,"es","Twitter for Android","no"
1,0,3,1,1,0,274,186,8517,1704,"es","Twitter Web Client","no"
